Destination IP,Source IP (Unique Count),Destination Port (Unique Count),Event Name (Unique Count),Log Source (Unique Count),Low Level Category (Unique Count),Protocol (Unique Count),Username (Unique Count),Magnitude (Maximum),Event Count (Sum),Source Geographic Country/Region (Unique Count),Count
216.104.208.150,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.63,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
192.150.19.188,180.97.106.37,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,1,China,1
192.147.130.27,61.240.144.65,443,Traffic Close,PaSeries @ or1-PA-fefw1,Firewall Session Closed,tcp_ip,None,3,1,China,1
216.104.208.163,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.74,123.178.199.182,3306,TCP sweep,Juniper JunOS Platform @ sjc-cloudfw,Suspicious Activity,Other,None,4,1,China,1
216.104.209.195,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.106,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.120,118.81.236.210,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
192.150.19.50,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.149,61.147.70.80,22,TCP sweep,Juniper JunOS Platform @ sjc-cloudfw,Suspicious Activity,Other,None,4,1,China,1
216.104.209.245,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.162,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.126,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.170,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.190,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.108,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.10,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.149,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.209,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.139,183.60.48.25,9527,TCP sweep,Juniper JunOS Platform @ sjc-cloudfw,Suspicious Activity,Other,None,4,1,China,1
192.150.19.51,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.60,180.97.106.162,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.39,123.151.42.61,1701,UDP sweep,Juniper JunOS Platform @ sjc-cloudfw,Suspicious Activity,Other,None,4,1,China,1
216.104.208.91,123.178.199.182,3306,TCP sweep,Juniper JunOS Platform @ sjc-cloudfw,Suspicious Activity,Other,None,4,1,China,1
216.104.209.64,183.129.160.229,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
